,q0,q1,infidelity
240,9,16,33.026488670622186
241,9,17,59.36475417164466
242,9,18,28.892169677181556
243,9,19,30.749157769968114
244,9,20,26.15666281446383
245,9,21,29.776289108073286
246,9,22,107.45567626311181
247,9,23,28.97623622166501
248,9,24,26.74733446022648
249,9,25,23.79496871693032
250,9,26,23.153830481840167
251,9,27,26.154495166634817
252,9,28,10.710393138086971
253,9,29,16.74283965224621
254,9,30,19.608739634789927
255,10,11,32.39346826265921
256,10,12,8.688012380571042
257,10,13,18.793522034101784
258,10,14,42.997595856673065
259,10,15,33.1255243494899
260,10,16,30.80147044533299
261,10,17,28.490187334963004
262,10,18,26.873033745450357
263,10,19,28.378562728021972
264,10,20,1.853748795643817
265,10,21,24.44305818863901
266,10,22,69.90310828925983
267,10,23,11.837097892880566
268,10,24,18.618261405489722
269,10,25,28.984413435176883
270,10,26,19.45061947495219
271,10,27,69.49076565228252
272,10,28,15.108951809424953
273,10,29,22.511958948731035
274,10,30,25.84008025161011
275,11,12,36.78853987691966
276,11,13,29.521727124031116
277,11,14,21.833432009846774
278,11,15,25.594246205793425
279,11,16,152.2182244112935
280,11,17,33.69228195849505
281,11,18,14.229882823035833
282,11,19,12.292142302493536
283,11,20,36.796840259099014
284,11,21,53.56012996323045
285,11,22,68.64830308999092
286,11,23,46.873273009078176
287,11,24,41.754634525392746
288,11,25,31.931887027385475
289,11,26,44.703134081770514
290,11,27,65.73884850444078
291,11,28,17.494797391138796
292,11,29,31.307543570869846
293,11,30,32.26272788022011
294,12,13,62.92026339577483
295,12,14,26.441486457877694
296,12,15,45.768575965912106
297,12,16,48.92486667882445
298,12,17,29.431325752600213
299,12,18,28.40570915846774
300,12,19,33.168373000946886
301,12,20,37.64391055091409
302,12,21,21.761005004690137
303,12,22,50.67560421699646
304,12,23,35.99514326887099
305,12,24,12.164492069488553
306,12,25,33.398536604976044
307,12,26,107.3445547761287
308,12,27,42.766668036741116
309,12,28,16.205061489589223
310,12,29,22.004484544203564
311,12,30,24.30767271603407
312,13,14,83.08843272468502
313,13,15,35.65588255960095
314,13,16,8.082229333751245
315,13,17,131.01812638994792
316,13,18,26.086195022716474
317,13,19,42.23445480038279
318,13,20,12.875697207677117
319,13,21,52.57772827447549
320,13,22,10.873032418571293
321,13,23,24.0585016228112
322,13,24,36.54342618237383
323,13,25,23.935618193119403
324,13,26,20.543412986769873
325,13,27,11.079251510326404
326,13,28,2.2583920732555107
327,13,29,25.61058448597997
328,13,30,19.925234939591753
329,14,15,31.60869694520896
330,14,16,71.85357105117917
331,14,17,26.048987592858232
332,14,18,30.093461459896886
333,14,19,19.812615306680215
334,14,20,76.44966033675593
335,14,21,22.259978671269607
336,14,22,72.8764862064113
337,14,23,33.20585028121714
338,14,24,34.66298561145664
339,14,25,16.76555129362378
340,14,26,26.222459614801963
341,14,27,26.0908407863647
342,14,28,27.19222861155446
343,14,29,16.31451343282464
344,14,30,26.2890881672162
345,15,16,45.38095889108362
346,15,17,21.25980824072449
347,15,18,24.54091111372181
348,15,19,24.02755169357618
349,15,20,39.114566173439336
350,15,21,46.323187695967995
351,15,22,60.43898245030488
352,15,23,37.46547163362423
353,15,24,59.16184760744958
354,15,25,43.0365550562839
355,15,26,115.44239662131028
356,15,27,61.85538780733801
357,15,28,9.118479629482978
358,15,29,145.40526044842017
359,15,30,45.65422948583419
360,16,17,38.67729618483362
361,16,18,31.40495171880864
362,16,19,32.70090960275529
363,16,20,16.186856279626348
364,16,21,6.838057531145525
365,16,22,28.929041128767928
366,16,23,39.30327771041853
367,16,24,23.949394205418084
368,16,25,32.73233351299476
369,16,26,28.974018167077233
370,16,27,15.367278283398011
371,16,28,26.995844176924688
372,16,29,39.676590694981414
373,16,30,32.074986332059076
374,17,18,16.404212188673164
375,17,19,38.887441201855836
376,17,20,49.3450852515831
377,17,21,21.881742674215722
378,17,22,23.687576671607147
379,17,23,36.97142907636008
380,17,24,160.68019081250662
381,17,25,26.773706055986946
382,17,26,12.602958870409076
383,17,27,40.977043124440506
384,17,28,23.053142225849534
385,17,29,24.79717179099561
386,17,30,45.38696683686339
387,18,19,16.12281110103919
388,18,20,28.321795009126348
389,18,21,23.876648329592687
390,18,22,26.6428248467665
391,18,23,18.104630900668273
392,18,24,31.419735459791156
393,18,25,13.774257106132781
394,18,26,32.34817286965841
395,18,27,16.967877905997852
396,18,28,22.217058925347864
397,18,29,43.89195235273036
398,18,30,18.813726067249405
399,19,20,19.566073439054588
400,19,21,30.78603626904264
401,19,22,17.872042233341155
402,19,23,29.201680212933567
403,19,24,18.511674904126973
404,19,25,18.503201335686725
405,19,26,24.018582689018242
406,19,27,28.209743139963052
407,19,28,27.66125938470254
408,19,29,58.56532401235959
409,19,30,8.824764806900642
410,20,21,25.890389656214595
411,20,22,32.49677871362433
412,20,23,65.39479796310866
413,20,24,89.75969241065363
414,20,25,23.071686397360125
415,20,26,117.07771451149762
416,20,27,122.17870930658958
417,20,28,15.992518449483573
418,20,29,21.20316348812934
419,20,30,48.00555635922632
420,21,22,49.38515197740689
421,21,23,52.641881674596604
422,21,24,28.051420138319738
423,21,25,15.263202730373404
424,21,26,139.56592021888147
425,21,27,39.70533245360897
426,21,28,66.66092016859638
427,21,29,78.8084939389344
428,21,30,28.039683671418068
429,22,23,35.2936409257909
430,22,24,44.130731820576365
431,22,25,25.623797657178258
432,22,26,29.2184108032556
433,22,27,11.641608582303453
434,22,28,14.240568198304882
435,22,29,90.71943152505591
436,22,30,11.803011417382825
437,23,24,98.13255628581597
438,23,25,29.069773608242365
439,23,26,17.67775408960781
440,23,27,26.905903548936074
441,23,28,29.89537330411851
442,23,29,22.41300325420026
443,23,30,24.443184170510612
444,24,25,69.29176256630254
445,24,26,23.886542643996034
446,24,27,52.961323888410796
447,24,28,14.17011399165835
448,24,29,11.427177332826721
449,24,30,35.99129626206676
450,25,26,120.17972060328952
451,25,27,19.252713416860743
452,25,28,27.076286654214023
453,25,29,15.426408591974194
454,25,30,26.497786931863885
455,26,27,74.12434257172751
456,26,28,33.743791971301285
457,26,29,29.96493664205957
458,26,30,53.81731656445843
459,27,28,38.88052787681784
460,27,29,2.27429023617276
461,27,30,28.42346512464955
462,28,29,25.708819469340007
463,28,30,7.988054202556771
464,29,30,15.856355779210185
