,q0,q1,infidelity
0,0,1,44.40463779196047
1,0,2,18.989028513305417
2,0,3,28.420111301632467
3,0,4,8.672587526769027
4,0,5,40.337629770953455
5,0,6,26.736940419687105
6,0,7,37.350014093567864
7,0,8,20.040085620213198
8,0,9,22.244995756326436
9,0,10,10.147685597808875
10,0,11,26.789758225576055
11,0,12,24.5222606529083
12,0,13,52.476913313573846
13,0,14,29.014005669003584
14,0,15,30.637623644218515
15,0,16,3.282209219005461
16,0,17,31.024202754422745
17,0,18,27.774919259412336
18,0,19,31.68461898765851
19,0,20,12.572456919871522
20,0,21,35.771812062757036
21,0,22,12.707203480295526
22,0,23,23.381255006256207
23,0,24,16.125247304838997
24,0,25,14.307944607032663
25,0,26,33.635953223618564
26,0,27,51.10759825723843
27,0,28,17.876939641415788
28,0,29,29.948717996455265
29,0,30,19.775379620508016
30,1,2,27.148746652824187
31,1,3,21.819445917422577
32,1,4,19.209206550058198
33,1,5,13.702134592226134
34,1,6,11.192810170402856
35,1,7,21.935509428082646
36,1,8,23.975841661393325
37,1,9,38.02393091711931
38,1,10,14.80905661595644
39,1,11,25.884742495426714
40,1,12,37.019460201478395
41,1,13,101.53092971439514
42,1,14,22.68186781524628
43,1,15,30.638288802775637
44,1,16,24.019323840164255
45,1,17,81.04344165985822
46,1,18,23.264594033760577
47,1,19,52.780341938588606
48,1,20,30.349996063306904
49,1,21,69.49830896923137
50,1,22,23.205946203196383
51,1,23,29.27466533535594
52,1,24,79.8745964408254
53,1,25,37.9208858733715
54,1,26,10.584860105503635
55,1,27,30.179228839936066
56,1,28,33.16676390720197
57,1,29,12.57558535230019
58,1,30,78.58052898930157
59,2,3,34.608302702140435
60,2,4,27.96679082693543
61,2,5,26.03516372509107
62,2,6,19.524616931397844
63,2,7,12.580118565737042
64,2,8,39.878094140631816
65,2,9,25.125289498906245
66,2,10,23.670748740275414
67,2,11,26.211043219334094
68,2,12,66.81650860396849
69,2,13,34.00782686840409
70,2,14,34.78062761228973
71,2,15,24.24788918789389
72,2,16,16.2255901884889
73,2,17,8.871938814640767
74,2,18,23.71236270357069
75,2,19,55.69046258871002
76,2,20,18.265442392566555
77,2,21,3.518207336714596
78,2,22,22.27916226695381
79,2,23,6.455389614475893
80,2,24,36.88175331607702
81,2,25,64.70130205640245
82,2,26,74.70800175888748
83,2,27,75.04854303547415
84,2,28,17.85355859564075
85,2,29,16.142042821648552
86,2,30,35.2557133676823
87,3,4,45.37371941541135
88,3,5,36.59369604226859
89,3,6,42.07203257953207
90,3,7,29.17412900238947
91,3,8,25.882575506792627
92,3,9,82.7106677585665
93,3,10,23.20952923416275
94,3,11,12.712946224210375
95,3,12,16.271591704657418
96,3,13,22.06915677712584
97,3,14,69.3719246840241
98,3,15,32.5911219000119
99,3,16,30.794504471514106
100,3,17,31.567375512017158
101,3,18,99.57326990975734
102,3,19,59.24524854217572
103,3,20,15.154259274100523
104,3,21,31.857001286953455
105,3,22,37.09873168852407
106,3,23,118.82745363164804
107,3,24,46.25927779717265
108,3,25,23.887308621480805
109,3,26,29.560732283656634
110,3,27,84.13810760971252
111,3,28,150.30784653743856
112,3,29,18.024351308857376
113,3,30,35.36778265017748
114,4,5,36.79403592577124
115,4,6,35.24428878829533
116,4,7,15.770492520144064
117,4,8,37.916951361205435
118,4,9,146.33854521713397
119,4,10,30.46314271928363
120,4,11,27.02323055461808
121,4,12,14.341057802118584
122,4,13,45.962410745378214
123,4,14,39.48156627351595
124,4,15,24.1646693005082
125,4,16,22.865969624342732
126,4,17,35.400478192438854
127,4,18,82.87585852989832
128,4,19,40.919342380066894
129,4,20,20.4745778063431
130,4,21,30.520986630042657
131,4,22,23.678696032987112
132,4,23,88.87407686831051
133,4,24,19.162076046250753
134,4,25,44.26389608461978
135,4,26,31.355483166629618
136,4,27,38.97312421038856
137,4,28,44.54887181330691
138,4,29,17.26959800420147
139,4,30,21.457667107714904
140,5,6,36.169487422824666
141,5,7,31.633744538935858
142,5,8,16.288008735679817
143,5,9,16.229743540692176
144,5,10,26.886857919041773
145,5,11,25.64235045500629
146,5,12,98.10221527137841
147,5,13,43.13406686304866
148,5,14,26.215709612688045
149,5,15,22.217113387420497
150,5,16,16.922718707506057
151,5,17,30.52523360771331
152,5,18,22.911407949980365
153,5,19,64.4030453190958
154,5,20,30.699717053173092
155,5,21,24.36810817731283
156,5,22,9.347953844955903
157,5,23,20.285760329138427
158,5,24,34.847965442813546
159,5,25,30.50963773505555
160,5,26,21.818200971188695
